date,bought,sold,profit,stochastic,ema,atr,macd
1453663510,2678.24,2659.91,-0.6844046836728571,31.962174940898464,2650.943084024398,2.5333333333332653,2.086605661729209
1453665163,2657.48,2655.0,-0.0933214925418072,50.75154730327179,2652.469370420323,1.537499999999947,0.6563106651192356
1453665688,2654.92,2655.38,0.017326322450395358,63.9371381306883,2652.4727045298637,1.7299999999999425,-0.6044314506643786
1453666835,2655.36,2652.22,-0.11825138587612705,70.47999999999955,2651.6761408093116,3.1766666666666574,1.2075571161471998
1453667159,2654.84,2652.37,-0.09303762185292729,68.69636289333855,2651.930387371288,2.187499999999924,2.172950166188457
1453667530,2653.83,2653.43,-0.015072555514109454,44.72477064220146,2652.035380207341,2.108333333333235,0.2762964213284249
1453668233,2654.48,2657.2,0.10246828003977428,78.83107626514784,2652.8308703750754,1.9725000000000061,1.5396620155784149
1453668479,2658.35,2657.75,-0.022570391408200916,48.18428184281821,2653.1784972967284,1.8958333333333712,1.076639914025236
1453669269,2659.05,2657.51,-0.057915420921004254,93.79104477612216,2654.0959170789,1.2800000000000107,1.0870937320778467
1453669494,2660.17,2659.41,-0.028569602694572836,24.975417895775255,2654.4038200800424,1.7158333333333455,0.8718094914361245
1453669793,2658.3,2657.73,-0.021442275138252406,21.82468694096771,2654.672709000117,1.7991666666666788,-0.17595924699480747
1453670404,2658.59,2659.86,0.04776968242564599,36.62790697674757,2655.0194326480228,1.3099999999999834,-0.22139988263734267
1453671965,2655.83,2655.16,-0.025227518327606537,55.26601520086778,2655.581634140275,1.3016666666666197,-0.1527283495820484
1453673101,2655.84,2654.65,-0.044806916079283936,86.56294200848944,2654.888831077793,1.1375000000001212,0.8890688780602432
1453674120,2655.17,2655.16,-0.00037662371901679665,51.541593949971485,2654.4525985053215,1.4825000000000348,-0.20010067159500977
1453675021,2654.37,2653.97,-0.01506948918199388,57.66423357663789,2654.196868050394,1.5166666666666895,0.06200404469427667
1453675430,2655.14,2653.37,-0.06666315147223807,54.97702909647519,2654.2781765513205,1.209166666666685,0.5711024562619968
1453678453,2651.51,2650.62,-0.03356577949924109,75.85630743525638,2651.1487213524506,1.576666666666559,0.3704125097501674
1453678987,2651.62,2651.34,-0.010559582443930328,69.06130268198963,2650.831513906568,1.5008333333332,-0.09931221551869385
1453680191,2667.29,2668.42,0.04236509715854329,52.584856396867444,2654.567791751187,2.172499999999976,-0.9891972890072793
1453681095,2662.29,2663.81,0.057093705043401805,46.09015639374463,2656.228705038279,2.5883333333332907,-1.5045285430746844
1453681693,2664.37,2663.49,-0.03302844574890534,84.87394957983463,2657.387320302504,1.3641666666666197,1.042334899632806
1453681985,2665.0,2663.9,-0.04127579737335493,43.26086956521844,2657.9513506674325,1.1599999999998925,0.46457331488909404
1453682346,2663.63,2663.08,-0.020648513494748968,62.940670679279776,2658.3943819139745,1.8166666666666818,-0.3582654238066425
1453682464,2664.99,2664.03,-0.0360226492406944,75.92986184909827,2658.5917197009576,1.904166666666697,-0.19054214566904193
1453682893,2665.76,2664.41,-0.05064221835425409,76.62997459779946,2659.3589790750934,1.7666666666667272,1.1515874209449066
1453683001,2666.32,2665.83,-0.018377389060586745,55.23489932885715,2659.5800309860933,1.8075000000000425,0.8545858278935157
1453683653,2665.9,2665.29,-0.022881578453810246,41.571609632452706,2660.5203707713354,1.2183333333334,-0.14810048856497815
1453684033,2665.35,2663.5,-0.06940927082746766,28.898128898127943,2660.9378213010946,0.9850000000000515,-0.009571636426699115
1453684213,2665.3,2664.44,-0.03226653660001228,52.342704149932516,2661.1455026856165,1.1241666666667243,-0.09198831276626152
1453684451,2665.15,2665.89,0.027765791794074696,56.776556776557506,2661.4295558470826,0.910000000000044,0.0953401776746432
1453684569,2666.14,2665.68,-0.017253407547992095,73.88316151202854,2661.591577620212,0.943333333333347,0.36550486453461417
1453684806,2665.37,2665.32,-0.0018759121622786764,34.126984126979835,2661.8531342991146,0.8941666666666302,0.2382579105469631
1453686597,2662.06,2660.63,-0.05371779749516676,78.7553648068661,2661.667147391912,1.7058333333333167,0.6382407678070194
1453687030,2663.45,2660.52,-0.11000769678423987,65.8309455587362,2661.8270048080863,2.150000000000091,0.9732211245577673
1453689304,2661.96,2661.78,-0.006761934814942234,81.75865294668017,2661.242530404287,1.4758333333333364,1.114328246230798
1453690091,2663.07,2666.5,0.12879871726991166,67.03078450844083,2661.8495310191774,2.191666666666644,2.0949434965073124
1453690212,2666.86,2664.28,-0.09674298613350259,46.964064436183314,2661.966524981335,2.6499999999999395,1.5556819010539584
1453691099,2663.22,2663.81,0.022153633571396488,71.98335644937399,2661.963865152386,1.38250000000005,-0.3368923585644552
1453691516,2662.15,2661.5,-0.02441635520162616,37.46724890829722,2661.886339435703,1.613333333333306,-0.09345500364634063
1453691643,2662.07,2662.91,0.03155439188299672,49.617486338799395,2661.89835648604,1.4566666666665924,-0.09695928569226453
1453692193,2662.0,2664.45,0.09203606311043645,52.325581395350504,2661.841167382595,1.2533333333332923,0.009483370457473939
1453692790,2663.74,2663.67,-0.0026278841027919005,79.52755905511945,2661.9232625020722,1.8141666666666652,0.4256083220416258
1453697129,2658.09,2658.1,0.00037620998535653537,87.96366389099445,2657.2767010646844,1.499999999999962,1.365675758717316
1453697555,2658.09,2657.14,-0.03573994860972626,51.756007393711535,2657.3416211090803,1.4874999999999545,0.35809056390780825
1453698040,2660.44,2661.08,0.024056171159653014,87.63676148796642,2657.618492900747,1.598333333333244,1.0999718567450145
1453698564,2663.62,2667.97,0.16331158348412722,82.11624441133198,2658.3783455426214,2.254166666666606,2.456829606246629
1453698756,2667.54,2666.65,-0.033364073266000605,64.06176883481332,2658.7565622321367,2.252499999999941,2.3283563988702554
1453699415,2668.02,2666.66,-0.05097413062871071,42.131979695436506,2659.66541370706,1.4174999999999425,-0.25603224662518187
1453700370,2660.84,2660.32,-0.01954270080125005,60.14084507042497,2659.7778334983304,1.4216666666665485,-0.546078337990366
1453700671,2660.59,2659.16,-0.05374747706336907,45.21894548703723,2659.7262372015125,1.3299999999998893,0.06484375436548362
1453700925,2659.99,2661.05,0.03984977387134539,50.59687786960356,2659.72038053667,1.17999999999995,-0.05589444883571559
1453701156,2662.13,2661.17,-0.036061349370618126,79.85546522132395,2659.814677035848,1.271666666666685,0.613591511809318
1453701387,2662.24,2661.4,-0.031552376945718295,23.529411764707312,2659.891045438176,1.2600000000001046,0.592207382086599
1453703680,2661.87,2662.0,0.004883784707747154,79.13223140495852,2659.5136249733855,1.8441666666666758,1.7001436183359147
1453703859,2662.94,2662.88,-0.0022531487754115912,60.64516129032259,2659.6878395191516,1.7433333333333014,1.7333375459134004
1453704150,2662.63,2661.5,-0.04243924240319192,40.33742331288522,2659.9024762645354,1.9758333333333364,0.6847385475780357
1453704999,2662.24,2662.54,0.011268706052053231,81.96233894945804,2660.425650745579,1.3483333333333956,0.6471198463550536
1453706384,2661.0,2660.6,-0.015031942878620478,54.06562054208457,2660.71265399829,0.9258333333333818,0.04734862942450491
1453706742,2661.2,2660.0,-0.04509243950097017,38.91129032258266,2660.71486234906,0.9433333333333849,0.07270609702482034
1453706983,2660.8,2660.86,0.002254960914008773,21.96531791907465,2660.732802901487,0.9766666666666879,0.00864920415369852
1453707096,2660.82,2661.07,0.009395599852676994,31.33333333333515,2660.74708030403,0.9608333333332743,0.10181824477103874



Parameters
stochastic_period,5
stochastic_k,3
stochastic_d,2
macd_short,8
macd_long,17
atr_ma,12
open_ema,6
close_ema,5
main_ema,155
short_ema,17
